Alert_Number,Organization_Name,Repository_Name,Secret_Type,Secret_Type_ID,State,Created_At,Updated_At,URL,Validity,Resolution,Resolved_By,Resolved_At,Publicly_Leaked,Push_Protection_Bypassed,Location_Path,Location_Start_Line,Location_End_Line,Location_Start_Column,Location_End_Column,Location_Blob_Sha,Location_Blob_URL,Locations_URL,Has_More_Locations
1,InfoMGHAS-KR,ghas_licensing_info,Msft Email,msft_email,open,2025-09-23T04:58:25Z,2025-12-11T05:38:13Z,https://github.com/InfoMGHAS-KR/ghas_licensing_info/security/secret-scanning/1,unknown,,,,False,False,testcredentials.md,1,1,1,28,975f72d564510848c66c12e52c41ad857066a711,https://api.github.com/repos/InfoMGHAS-KR/ghas_licensing_info/git/blobs/975f72d564510848c66c12e52c41ad857066a711,https://api.github.com/repos/InfoMGHAS-KR/ghas_licensing_info/secret-scanning/alerts/1/locations,True
13,InfoMGHAS-KR,demo-webgoat,Msft Email,msft_email,open,2025-09-23T04:54:30Z,2025-12-11T04:53:25Z,https://github.com/InfoMGHAS-KR/demo-webgoat/security/secret-scanning/13,unknown,,,,False,False,WebGoatCore/appsettings.Development.json,19,19,14,41,449ea2fba1dd5440f24a08d2fabb8a4a5b64b31b,https://api.github.com/repos/InfoMGHAS-KR/demo-webgoat/git/blobs/449ea2fba1dd5440f24a08d2fabb8a4a5b64b31b,https://api.github.com/repos/InfoMGHAS-KR/demo-webgoat/secret-scanning/alerts/13/locations,False
12,InfoMGHAS-KR,demo-webgoat,Msft Email,msft_email,open,2025-09-23T04:54:30Z,2025-09-23T04:54:30Z,https://github.com/InfoMGHAS-KR/demo-webgoat/security/secret-scanning/12,unknown,,,,False,False,WebGoatCore/appsettings.Development.json,18,18,14,41,449ea2fba1dd5440f24a08d2fabb8a4a5b64b31b,https://api.github.com/repos/InfoMGHAS-KR/demo-webgoat/git/blobs/449ea2fba1dd5440f24a08d2fabb8a4a5b64b31b,https://api.github.com/repos/InfoMGHAS-KR/demo-webgoat/secret-scanning/alerts/12/locations,False
5,InfoMGHAS-KR,GHAS-new-features,Stripe API Key,stripe_api_key,open,2025-08-13T05:11:49Z,2025-08-13T08:15:01Z,https://github.com/InfoMGHAS-KR/GHAS-new-features/security/secret-scanning/5,inactive,,,,False,False,src/js/secretsExample.js,56,56,21,67,c2226051c13aa9a3beaf32ac27ed9f5e6065ac6b,https://api.github.com/repos/InfoMGHAS-KR/GHAS-new-features/git/blobs/c2226051c13aa9a3beaf32ac27ed9f5e6065ac6b,https://api.github.com/repos/InfoMGHAS-KR/GHAS-new-features/secret-scanning/alerts/5/locations,False
24,InfoMGHAS-KR,may26-webgoat,MongoDB Atlas Database URI with credentials,mongodb_atlas_db_uri_with_credentials,open,2025-06-06T11:53:08Z,2025-09-29T15:29:52Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/24,unknown,,,,True,False,src/main/java/org/dummy/insecure/framework/VulnerableTaskHolder.java,24,24,44,102,7e313ac890b16169c31503a8712ed3bacad27c65,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/7e313ac890b16169c31503a8712ed3bacad27c65,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/24/locations,False
22,InfoMGHAS-KR,may26-webgoat,Azure DevOps Personal Access Token,azure_devops_personal_access_token,open,2025-06-06T11:53:08Z,2025-06-06T11:53:08Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/22,unknown,,,,True,False,docs/README.md,4,4,1,53,5a365994a09a41be0d9e0529cb74c3551e974b40,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/5a365994a09a41be0d9e0529cb74c3551e974b40,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/22/locations,False
21,InfoMGHAS-KR,may26-webgoat,Amazon AWS Secret Access Key,aws_secret_access_key,open,2025-06-06T11:53:08Z,2025-06-06T11:53:08Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/21,unknown,,,,True,False,Config/terraform/aws/ec2.tf,16,16,30,70,00e0ba940f34aafa718bd54e5937f79d3ff07c2c,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/00e0ba940f34aafa718bd54e5937f79d3ff07c2c,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/21/locations,False
20,InfoMGHAS-KR,may26-webgoat,GitHub Personal Access Token,github_personal_access_token,open,2025-06-06T11:53:08Z,2025-06-06T12:19:14Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/20,unknown,,,,True,False,.github/workflows/SynopsysDetect.yaml,27,27,25,65,8b71c7f1240db2c8ab162ec525a1aa7983844de6,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/8b71c7f1240db2c8ab162ec525a1aa7983844de6,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/20/locations,False
19,InfoMGHAS-KR,may26-webgoat,Mailgun API Key,mailgun_api_key,open,2025-06-06T11:53:08Z,2025-08-13T06:50:21Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/19,inactive,,,,True,False,webgoat-lessons/secure-passwords/src/main/java/org/owasp/webgoat/Secrets.java,17,17,34,84,405132e6f6b57db783f092c1630a8318a5895c39,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/405132e6f6b57db783f092c1630a8318a5895c39,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/19/locations,True
18,InfoMGHAS-KR,may26-webgoat,Postman API Key,postman_api_key,open,2025-06-06T11:53:08Z,2025-08-13T07:28:23Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/18,inactive,,,,True,False,webgoat-lessons/secure-passwords/src/main/java/org/owasp/webgoat/Secrets.java,15,15,34,98,405132e6f6b57db783f092c1630a8318a5895c39,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/405132e6f6b57db783f092c1630a8318a5895c39,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/18/locations,True
17,InfoMGHAS-KR,may26-webgoat,Terraform Cloud / Enterprise API Token,terraform_api_token,open,2025-06-06T11:53:08Z,2025-08-13T11:09:54Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/17,inactive,,,,True,False,webgoat-lessons/secure-passwords/src/main/java/org/owasp/webgoat/Secrets.java,13,13,36,126,405132e6f6b57db783f092c1630a8318a5895c39,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/405132e6f6b57db783f092c1630a8318a5895c39,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/17/locations,True
16,InfoMGHAS-KR,may26-webgoat,GitLab Access Token,gitlab_access_token,open,2025-06-06T11:53:08Z,2025-08-13T06:34:54Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/16,inactive,,,,True,False,README.md,169,169,13,39,e2a409f1baceb1245ca81d67d80ab609856ab4ab,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/e2a409f1baceb1245ca81d67d80ab609856ab4ab,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/16/locations,False
15,InfoMGHAS-KR,may26-webgoat,Google API Key,google_api_key,open,2025-06-06T11:53:08Z,2025-08-14T11:09:53Z,https://github.com/InfoMGHAS-KR/may26-webgoat/security/secret-scanning/15,inactive,,,,True,False,webgoat-lessons/secure-passwords/src/main/java/org/owasp/webgoat/Secrets.java,11,11,46,85,405132e6f6b57db783f092c1630a8318a5895c39,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/git/blobs/405132e6f6b57db783f092c1630a8318a5895c39,https://api.github.com/repos/InfoMGHAS-KR/may26-webgoat/secret-scanning/alerts/15/locations,True
